N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL
1,삼성전자,"49,400",450,-0.90%,100,"2,949,073","5,969,783",55.22,"8,430,718",15.60,8.69,https://finance.naver.com/item/main.nhn?code=005930
2,SK하이닉스,"81,400","1,200",-1.45%,"5,000","592,594","728,002",48.41,"1,806,294",29.44,4.25,https://finance.naver.com/item/main.nhn?code=000660
3,삼성바이오로직스,"593,000","8,000",-1.33%,"2,500","392,358","66,165",10.42,"255,901",193.35,4.77,https://finance.naver.com/item/main.nhn?code=207940
4,삼성전자우,"42,800",200,-0.47%,100,"352,196","822,887",88.69,"776,579",13.52,N/A,https://finance.naver.com/item/main.nhn?code=005935
5,NAVER,"193,000","3,000",+1.58%,100,"317,028","164,263",57.83,"676,645",54.55,10.56,https://finance.naver.com/item/main.nhn?code=035420
6,셀트리온,"213,500",500,-0.23%,"1,000","287,599","134,707",20.16,"693,603",96.56,11.19,https://finance.naver.com/item/main.nhn?code=068270
7,LG화학,"355,500","5,500",-1.52%,"5,000","250,956","70,592",37.41,"146,671",88.81,1.84,https://finance.naver.com/item/main.nhn?code=051910
8,LG생활건강,"1,442,000","2,000",-0.14%,"5,000","225,214","15,618",43.66,"43,068",32.84,20.32,https://finance.naver.com/item/main.nhn?code=051900
9,현대차,"90,800","1,600",-1.73%,"5,000","194,011","213,668",34.34,"1,169,648",8.44,4.32,https://finance.naver.com/item/main.nhn?code=005380
10,삼성SDI,"278,000","6,500",-2.28%,"5,000","191,165","68,765",42.12,"270,082",54.88,2.94,https://finance.naver.com/item/main.nhn?code=006400
11,삼성물산,"100,000","1,300",+1.32%,100,"189,690","189,690",14.47,"463,876",18.22,4.77,https://finance.naver.com/item/main.nhn?code=028260
12,SK텔레콤,"212,000","3,500",-1.62%,500,"171,181","80,746",37.23,"153,393",19.24,3.92,https://finance.naver.com/item/main.nhn?code=017670
13,현대모비스,"172,500","4,500",-2.54%,"5,000","163,969","95,055",45.95,"186,267",7.23,7.28,https://finance.naver.com/item/main.nhn?code=012330
14,카카오,"185,000",500,-0.27%,500,"160,871","86,957",30.57,"732,913",-51.60,-5.81,https://finance.naver.com/item/main.nhn?code=035720
15,POSCO,"171,000",500,-0.29%,"5,000","149,089","87,187",50.57,"236,696",8.12,4.18,https://finance.naver.com/item/main.nhn?code=005490
16,한국전력,"22,900",300,-1.29%,"5,000","147,010","641,964",22.52,"2,506,345",-6.27,-3.42,https://finance.naver.com/item/main.nhn?code=015760
17,엔씨소프트,"657,000","4,000",-0.61%,500,"144,238","21,954",50.85,"62,397",40.26,14.72,https://finance.naver.com/item/main.nhn?code=036570
18,신한지주,"27,150",350,-1.27%,"5,000","130,980","482,432",63.88,"814,071",3.88,9.09,https://finance.naver.com/item/main.nhn?code=055550
19,KB금융,"31,250",50,-0.16%,"5,000","129,940","415,808",65.71,"845,174",3.94,8.92,https://finance.naver.com/item/main.nhn?code=105560
20,SK,"177,000","5,500",-3.01%,200,"124,538","70,360",23.74,"113,294",17.50,4.31,https://finance.naver.com/item/main.nhn?code=034730
21,삼성에스디에스,"157,500","5,500",-3.37%,500,"121,870","77,378",12.16,"205,772",16.55,11.76,https://finance.naver.com/item/main.nhn?code=018260
22,기아차,"27,800","1,000",-3.47%,"5,000","112,691","405,363",39.17,"1,386,011",6.17,6.50,https://finance.naver.com/item/main.nhn?code=000270
23,KT&G,"79,800",400,-0.50%,"5,000","109,559","137,292",46.02,"241,503",10.57,12.39,https://finance.naver.com/item/main.nhn?code=033780
24,LG,"62,500",800,-1.26%,"5,000","107,848","172,557",34.82,"106,977",10.18,5.87,https://finance.naver.com/item/main.nhn?code=003550
25,아모레퍼시픽,"172,000","4,500",-2.55%,500,"100,549","58,458",29.62,"202,957",49.71,5.36,https://finance.naver.com/item/main.nhn?code=090430
26,삼성생명,"47,200",450,-0.94%,500,"94,400","200,000",13.49,"169,655",9.66,3.26,https://finance.naver.com/item/main.nhn?code=032830
27,SK이노베이션,"98,300","1,100",-1.11%,"5,000","90,894","92,466",25.71,"418,669",-258.01,-0.20,https://finance.naver.com/item/main.nhn?code=096770
28,삼성화재,"188,500","1,500",-0.79%,500,"89,302","47,375",47.64,"56,202",14.82,4.85,https://finance.naver.com/item/main.nhn?code=000810
29,LG전자,"52,900",400,-0.75%,"5,000","86,570","163,648",30.84,"280,119",305.78,0.22,https://finance.naver.com/item/main.nhn?code=066570
30,삼성전기,"109,000","1,000",-0.91%,"5,000","81,416","74,694",30.62,"396,267",16.45,10.18,https://finance.naver.com/item/main.nhn?code=009150
31,S-Oil,"71,100",700,-0.97%,"2,500","80,046","112,583",75.67,"539,794",126.74,1.01,https://finance.naver.com/item/main.nhn?code=010950
32,넷마블,"91,400","1,300",-1.40%,100,"78,414","85,792",23.19,"128,724",50.14,3.54,https://finance.naver.com/item/main.nhn?code=251270
33,롯데케미칼,"219,000","3,500",+1.62%,"5,000","75,063","34,275",29.27,"157,474",10.50,5.51,https://finance.naver.com/item/main.nhn?code=011170
34,고려아연,"396,000","3,500",+0.89%,"5,000","74,725","18,870",23.37,"16,836",11.81,9.76,https://finance.naver.com/item/main.nhn?code=010130
35,하나금융지주,"23,450",150,-0.64%,"5,000","70,407","300,242",65.32,"659,031",2.94,8.77,https://finance.naver.com/item/main.nhn?code=086790
36,KT,"23,250",350,-1.48%,"5,000","60,708","261,112",46.52,"551,942",9.81,4.61,https://finance.naver.com/item/main.nhn?code=030200
37,한진칼,"96,000","10,800",+12.68%,"2,500","56,804","59,170",19.11,"6,160,144",-23.59,-17.56,https://finance.naver.com/item/main.nhn?code=180640
38,우리금융지주,"7,860",50,-0.63%,"5,000","56,770","722,268",28.20,"906,770",2.83,N/A,https://finance.naver.com/item/main.nhn?code=316140
39,LG유플러스,"12,900",50,-0.39%,"5,000","56,323","436,611",36.21,"763,204",12.84,6.30,https://finance.naver.com/item/main.nhn?code=032640
40,한국조선해양,"77,000",300,-0.39%,"5,000","54,495","70,773",16.16,"149,412",33.22,1.40,https://finance.naver.com/item/main.nhn?code=009540
41,KODEX 200,"25,575",225,-0.87%,0,"54,411","212,750",3.34,"2,864,421",N/A,N/A,https://finance.naver.com/item/main.nhn?code=069500
42,강원랜드,"24,150",300,-1.23%,500,"51,667","213,940",26.86,"282,815",15.44,9.16,https://finance.naver.com/item/main.nhn?code=035250
43,오리온,"122,500","2,000",-1.61%,500,"48,432","39,536",42.02,"56,940",22.46,14.24,https://finance.naver.com/item/main.nhn?code=271560
44,아모레G,"57,900",600,-1.03%,500,"47,743","82,458",21.59,"90,917",38.65,4.12,https://finance.naver.com/item/main.nhn?code=002790
45,한온시스템,"8,850",160,-1.78%,100,"47,241","533,800",20.44,"347,898",14.82,14.98,https://finance.naver.com/item/main.nhn?code=018880
46,코웨이,"59,900",200,-0.33%,500,"44,206","73,800",60.48,"107,974",13.28,30.74,https://finance.naver.com/item/main.nhn?code=021240
47,기업은행,"7,240",80,-1.09%,"5,000","41,786","577,157",17.41,"1,517,776",3.03,7.36,https://finance.naver.com/item/main.nhn?code=024110
48,CJ제일제당,"264,500","14,500",+5.80%,"5,000","39,818","15,054",19.44,"121,970",28.40,3.16,https://finance.naver.com/item/main.nhn?code=097950
49,맥쿼리인프라,"11,400",0,0.00%,0,"39,791","349,044",24.43,"344,211",N/A,N/A,https://finance.naver.com/item/main.nhn?code=088980
50,LG디스플레이,"10,600",300,-2.75%,"5,000","37,928","357,816",22.17,"1,315,838",-1.34,-22.35,https://finance.naver.com/item/main.nhn?code=034220
51,현대중공업지주,"231,500","2,000",+0.87%,"5,000","37,704","16,287",18.06,"22,454",21.77,2.20,https://finance.naver.com/item/main.nhn?code=267250
52,현대건설,"33,500","1,250",-3.60%,"5,000","37,304","111,356",19.23,"603,263",9.16,6.30,https://finance.naver.com/item/main.nhn?code=000720
53,현대글로비스,"99,000","1,500",-1.49%,500,"37,125","37,500",35.81,"68,651",7.39,11.25,https://finance.naver.com/item/main.nhn?code=086280
54,GS,"37,750",850,-2.20%,"5,000","35,076","92,915",22.12,"174,183",6.57,6.26,https://finance.naver.com/item/main.nhn?code=078930
55,미래에셋대우,"5,170",50,-0.96%,"5,000","34,035","658,316",14.26,"1,019,350",6.37,7.56,https://finance.naver.com/item/main.nhn?code=006800
56,CJ대한통운,"146,500","1,500",-1.01%,"5,000","33,420","22,812",19.23,"20,845",84.15,1.41,https://finance.naver.com/item/main.nhn?code=000120
57,KODEX 레버리지,"9,850",180,-1.79%,0,"32,564","330,600",0.62,"60,907,112",N/A,N/A,https://finance.naver.com/item/main.nhn?code=122630
58,삼성카드,"28,050",100,+0.36%,"5,000","32,498","115,859",10.87,"40,187",9.44,5.04,https://finance.naver.com/item/main.nhn?code=029780
59,포스코케미칼,"52,000","1,600",-2.99%,500,"31,714","60,988",7.40,"252,944",31.10,11.57,https://finance.naver.com/item/main.nhn?code=003670
60,에스원,"83,200",700,-0.83%,500,"31,615","37,999",55.03,"21,613",21.56,11.32,https://finance.naver.com/item/main.nhn?code=012750
61,유한양행,"46,900",700,-1.47%,"1,000","31,356","66,857",20.21,"171,526",79.76,2.43,https://finance.naver.com/item/main.nhn?code=000100
62,DB손해보험,"44,200","1,100",+2.55%,500,"31,294","70,800",40.31,"131,987",8.29,6.92,https://finance.naver.com/item/main.nhn?code=005830
63,이마트,"110,000","1,500",-1.35%,"5,000","30,663","27,876",32.09,"59,939",13.11,2.76,https://finance.naver.com/item/main.nhn?code=139480
64,한미약품,"256,500","3,000",-1.16%,"2,500","30,377","11,843",15.50,"14,412",58.30,7.30,https://finance.naver.com/item/main.nhn?code=128940
65,LG이노텍,"128,000",500,-0.39%,"5,000","30,294","23,667",28.50,"90,574",29.61,4.73,https://finance.naver.com/item/main.nhn?code=011070
66,호텔신라,"76,800","1,000",-1.29%,"5,000","30,143","39,248",25.35,"236,984",18.10,20.16,https://finance.naver.com/item/main.nhn?code=008770
67,대림산업,"83,700",500,-0.59%,"5,000","29,128","34,800",40.69,"179,303",4.86,11.74,https://finance.naver.com/item/main.nhn?code=000210
68,TIGER 200,"25,585",255,-0.99%,0,"29,116","113,800",1.52,"229,483",N/A,N/A,https://finance.naver.com/item/main.nhn?code=102110
69,롯데지주,"27,000",450,-1.64%,200,"28,325","104,909",10.84,"68,269",-7.95,-5.21,https://finance.naver.com/item/main.nhn?code=004990
70,더존비즈온,"91,000","1,000",-1.09%,500,"27,002","29,673",44.53,"56,821",54.52,18.78,https://finance.naver.com/item/main.nhn?code=012510
71,삼성중공업,"4,210",30,-0.71%,"5,000","26,523","630,000",15.86,"3,041,200",-2.02,-21.88,https://finance.naver.com/item/main.nhn?code=010140
72,쌍용양회,"5,170",30,-0.58%,"1,000","26,050","503,860",2.33,"1,172,682",19.96,7.02,https://finance.naver.com/item/main.nhn?code=003410
73,BGF리테일,"149,500","2,000",-1.32%,"1,000","25,839","17,284",33.44,"8,522",17.07,26.46,https://finance.naver.com/item/main.nhn?code=282330
74,한국금융지주,"46,200",800,-1.70%,"5,000","25,745","55,726",40.27,"129,085",3.37,18.14,https://finance.naver.com/item/main.nhn?code=071050
75,한국타이어앤테크놀로지,"20,500",400,-1.91%,500,"25,394","123,875",38.64,"172,526",6.05,6.03,https://finance.naver.com/item/main.nhn?code=161390
76,현대제철,"18,900",0,0.00%,"5,000","25,221","133,446",18.81,"324,954",147.66,0.10,https://finance.naver.com/item/main.nhn?code=004020
77,한국항공우주,"25,600","1,500",+6.22%,"5,000","24,954","97,475",16.92,"1,175,504",14.65,15.84,https://finance.naver.com/item/main.nhn?code=047810
78,삼성증권,"27,600",250,-0.90%,"5,000","24,647","89,300",27.38,"174,380",6.29,8.15,https://finance.naver.com/item/main.nhn?code=016360
79,NH투자증권,"8,680",80,-0.91%,"5,000","24,426","281,409",14.90,"367,039",5.48,9.12,https://finance.naver.com/item/main.nhn?code=005940
80,GS리테일,"31,700",300,-0.94%,"1,000","24,409","77,000",19.43,"89,442",18.33,6.25,https://finance.naver.com/item/main.nhn?code=007070
81,한국가스공사,"26,350",400,-1.50%,"5,000","24,324","92,313",9.50,"126,902",62.74,0.48,https://finance.naver.com/item/main.nhn?code=036460
82,신세계,"247,000","3,500",-1.40%,"5,000","24,318","9,845",28.94,"22,299",4.62,14.24,https://finance.naver.com/item/main.nhn?code=004170
83,롯데쇼핑,"85,400","1,100",-1.27%,"5,000","24,159","28,289",12.97,"38,332",-2.66,-8.14,https://finance.naver.com/item/main.nhn?code=023530
84,두산밥캣,"23,200",950,-3.93%,500,"23,258","100,249",23.30,"353,396",8.55,7.05,https://finance.naver.com/item/main.nhn?code=241560
85,현대해상,"25,900",500,+1.97%,500,"23,155","89,400",42.18,"271,541",8.60,6.23,https://finance.naver.com/item/main.nhn?code=001450
86,한화솔루션,"14,150",250,+1.80%,"5,000","22,849","161,479",21.40,"597,737",-9.71,-4.02,https://finance.naver.com/item/main.nhn?code=009830
87,금호석유,"72,200",700,+0.98%,"5,000","21,998","30,468",31.45,"254,599",8.21,11.84,https://finance.naver.com/item/main.nhn?code=011780
88,하이트진로,"30,950","1,350",+4.56%,"5,000","21,706","70,134",8.33,"586,937",-52.10,-3.86,https://finance.naver.com/item/main.nhn?code=000080
89,삼성엔지니어링,"11,000",250,-2.22%,"5,000","21,560","196,000",29.86,"634,931",7.37,24.62,https://finance.naver.com/item/main.nhn?code=028050
90,CJ,"72,600",700,+0.97%,"5,000","21,182","29,177",17.85,"61,480",9.69,6.24,https://finance.naver.com/item/main.nhn?code=001040
91,현대차2우B,"58,000",900,-1.53%,"5,000","21,162","36,485",70.21,"32,879",5.39,N/A,https://finance.naver.com/item/main.nhn?code=005387
92,KODEX 200선물인버스2X,"6,980",150,+2.20%,0,"20,521","294,000",0.64,"93,106,645",N/A,N/A,https://finance.naver.com/item/main.nhn?code=252670
93,휠라홀딩스,"33,550",750,-2.19%,"1,000","20,382","60,752",39.44,"194,126",7.69,23.81,https://finance.naver.com/item/main.nhn?code=081660
94,제일기획,"17,250",400,-2.27%,200,"19,845","115,041",31.37,"490,428",14.38,15.09,https://finance.naver.com/item/main.nhn?code=030000
95,오뚜기,"547,000","7,000",+1.30%,"5,000","19,721","3,605",16.88,"5,828",20.36,7.79,https://finance.naver.com/item/main.nhn?code=007310
96,GS건설,"24,050",800,-3.22%,"5,000","19,264","80,098",28.83,"258,909",4.33,11.79,https://finance.naver.com/item/main.nhn?code=006360
97,대한항공,"19,900",150,+0.76%,"5,000","18,874","94,845",14.62,"1,359,086",-3.04,-22.09,https://finance.naver.com/item/main.nhn?code=003490
98,SKC,"50,200","1,900",-3.65%,"5,000","18,842","37,535",8.19,"396,250",31.55,3.86,https://finance.naver.com/item/main.nhn?code=011790
99,대우조선해양,"17,550",150,-0.85%,"5,000","18,815","107,206",11.10,"590,952",-40.44,-1.22,https://finance.naver.com/item/main.nhn?code=042660
100,팬오션,"3,510",80,+2.33%,"1,000","18,763","534,569",11.02,"14,178,286",12.36,5.49,https://finance.naver.com/item/main.nhn?code=028670
