N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL,CODE
13,현대모비스,"167,500",0,0.00%,"5,000","159,217","95,055",45.84,"244,729",7.02,7.28,https://finance.naver.com/item/main.nhn?code=012330,012330
17,신한지주,"30,100",100,+0.33%,"5,000","145,212","482,432",63.93,"2,732,283",4.30,9.09,https://finance.naver.com/item/main.nhn?code=055550,055550
18,KB금융,"34,000",200,-0.58%,"5,000","141,375","415,808",65.96,"3,183,057",4.29,8.92,https://finance.naver.com/item/main.nhn?code=105560,105560
22,기아차,"29,350",750,+2.62%,"5,000","118,974","405,363",39.07,"1,692,630",6.51,6.50,https://finance.naver.com/item/main.nhn?code=000270,000270
30,하나금융지주,"27,600",550,+2.03%,"5,000","82,867","300,242",65.68,"3,947,505",3.46,8.77,https://finance.naver.com/item/main.nhn?code=086790,086790
46,기업은행,"7,750",130,+1.71%,"5,000","44,730","577,157",17.47,"5,146,613",3.24,7.36,https://finance.naver.com/item/main.nhn?code=024110,024110
51,현대건설,"34,050",150,+0.44%,"5,000","37,917","111,356",19.31,"579,871",9.31,6.30,https://finance.naver.com/item/main.nhn?code=000720,000720
53,현대글로비스,"99,100",800,+0.81%,500,"37,162","37,500",35.74,"124,812",7.40,11.25,https://finance.naver.com/item/main.nhn?code=086280,086280
54,미래에셋대우,"5,320",60,-1.12%,"5,000","35,022","658,316",14.27,"3,123,323",6.56,7.56,https://finance.naver.com/item/main.nhn?code=006800,006800
56,GS,"37,400",700,-1.84%,"5,000","34,750","92,915",21.95,"283,293",6.51,6.26,https://finance.naver.com/item/main.nhn?code=078930,078930
59,삼성카드,"28,500",400,-1.38%,"5,000","33,020","115,859",10.85,"117,889",9.60,5.04,https://finance.naver.com/item/main.nhn?code=029780,029780
64,DB손해보험,"45,250",150,+0.33%,500,"32,037","70,800",40.35,"161,137",8.48,6.92,https://finance.naver.com/item/main.nhn?code=005830,005830
68,대림산업,"82,900","1,400",+1.72%,"5,000","28,849","34,800",40.46,"182,643",4.81,11.74,https://finance.naver.com/item/main.nhn?code=000210,000210
73,한국금융지주,"47,350",150,-0.32%,"5,000","26,386","55,726",40.24,"250,441",3.45,18.14,https://finance.naver.com/item/main.nhn?code=071050,071050
74,한국타이어앤테크놀로지,"21,300",300,+1.43%,500,"26,385","123,875",38.64,"266,134",6.29,6.03,https://finance.naver.com/item/main.nhn?code=161390,161390
76,신세계,"263,000","7,500",+2.94%,"5,000","25,893","9,845",29.25,"82,596",4.92,14.24,https://finance.naver.com/item/main.nhn?code=004170,004170
80,NH투자증권,"9,000",10,+0.11%,"5,000","25,327","281,409",14.97,"1,276,306",5.68,9.12,https://finance.naver.com/item/main.nhn?code=005940,005940
81,삼성증권,"28,300",50,-0.18%,"5,000","25,272","89,300",27.38,"414,939",6.45,8.15,https://finance.naver.com/item/main.nhn?code=016360,016360
85,현대해상,"26,200",250,+0.96%,500,"23,423","89,400",42.11,"163,429",8.70,6.23,https://finance.naver.com/item/main.nhn?code=001450,001450
86,금호석유,"76,600",300,+0.39%,"5,000","23,338","30,468",31.03,"190,083",8.71,11.84,https://finance.naver.com/item/main.nhn?code=011780,011780
88,두산밥캣,"22,600",150,-0.66%,500,"22,656","100,249",23.25,"526,552",8.33,7.05,https://finance.naver.com/item/main.nhn?code=241560,241560
90,삼성엔지니어링,"11,050",50,-0.45%,"5,000","21,658","196,000",29.62,"1,070,662",7.40,24.62,https://finance.naver.com/item/main.nhn?code=028050,028050
92,휠라홀딩스,"35,100","1,300",+3.85%,"1,000","21,324","60,752",39.30,"862,941",8.04,23.81,https://finance.naver.com/item/main.nhn?code=081660,081660
96,GS건설,"24,600",100,+0.41%,"5,000","19,704","80,098",28.94,"285,536",4.43,11.79,https://finance.naver.com/item/main.nhn?code=006360,006360
97,메리츠증권,"3,050",10,+0.33%,"1,000","18,828","617,311",14.93,"2,276,021",3.91,15.06,https://finance.naver.com/item/main.nhn?code=008560,008560
111,포스코인터내셔널,"13,750",100,+0.73%,"5,000","16,964","123,375",15.45,"306,312",8.10,7.06,https://finance.naver.com/item/main.nhn?code=047050,047050
114,BNK금융지주,"4,975",100,+2.05%,"5,000","16,215","325,935",49.34,"2,007,236",2.88,7.07,https://finance.naver.com/item/main.nhn?code=138930,138930
115,키움증권,"72,700",0,0.00%,"5,000","16,067","22,100",26.41,"33,330",5.09,16.97,https://finance.naver.com/item/main.nhn?code=039490,039490
116,메리츠화재,"14,000",200,+1.45%,500,"15,915","113,680",11.98,"99,472",5.30,12.80,https://finance.naver.com/item/main.nhn?code=000060,000060
126,대우건설,"3,460",20,+0.58%,"5,000","14,381","415,623",13.09,"1,168,604",6.89,8.80,https://finance.naver.com/item/main.nhn?code=047040,047040
127,한전KPS,"31,650",550,-1.71%,200,"14,242","45,000",17.20,"83,516",9.29,14.98,https://finance.naver.com/item/main.nhn?code=051600,051600
131,메리츠금융지주,"9,700",210,+2.21%,500,"13,602","140,224",7.26,"26,198",3.41,15.26,https://finance.naver.com/item/main.nhn?code=138040,138040
138,영원무역,"27,100",900,+3.44%,500,"12,008","44,311",24.33,"175,734",7.22,9.82,https://finance.naver.com/item/main.nhn?code=111770,111770
141,HDC현대산업개발,"17,600",0,0.00%,"5,000","11,600","65,907",18.91,"384,632",2.14,20.30,https://finance.naver.com/item/main.nhn?code=294870,294870
151,만도,"23,300",50,-0.21%,"1,000","10,941","46,957",21.28,"316,398",9.90,7.55,https://finance.naver.com/item/main.nhn?code=204320,204320
152,더블유게임즈,"56,600","2,000",+3.66%,500,"10,338","18,266",12.09,"194,918",9.37,18.93,https://finance.naver.com/item/main.nhn?code=192080,192080
156,코리안리,"8,330",10,-0.12%,500,"10,027","120,369",30.26,"233,885",5.31,8.04,https://finance.naver.com/item/main.nhn?code=003690,003690
164,롯데정밀화학,"36,600",400,+1.10%,"5,000","9,443","25,800",24.38,"104,188",5.61,11.73,https://finance.naver.com/item/main.nhn?code=004000,004000
166,영풍,"511,000","1,000",-0.20%,"5,000","9,413","1,842",3.97,719,4.04,7.40,https://finance.naver.com/item/main.nhn?code=000670,000670
169,대한유화,"142,500","2,000",-1.38%,"5,000","9,262","6,500",12.21,"135,387",8.71,6.11,https://finance.naver.com/item/main.nhn?code=006650,006650
175,JB금융지주,"4,650",45,+0.98%,"5,000","9,160","196,983",40.21,"531,463",2.68,10.36,https://finance.naver.com/item/main.nhn?code=175330,175330
180,두산인프라코어,"4,255",35,-0.82%,"5,000","8,857","208,161",12.23,"2,101,592",3.69,11.59,https://finance.naver.com/item/main.nhn?code=042670,042670
182,DGB금융지주,"5,170",250,+5.08%,"5,000","8,745","169,146",46.80,"2,098,562",2.67,7.31,https://finance.naver.com/item/main.nhn?code=139130,139130
188,현대홈쇼핑,"69,700","1,600",+2.35%,"5,000","8,364","12,000",23.95,"29,087",9.73,5.03,https://finance.naver.com/item/main.nhn?code=057050,057050
197,대상,"22,400",50,-0.22%,"1,000","7,761","34,648",16.68,"197,966",7.53,11.17,https://finance.naver.com/item/main.nhn?code=001680,001680
206,SK가스,"76,500",0,0.00%,"5,000","7,061","9,230",6.45,"10,284",4.44,9.85,https://finance.naver.com/item/main.nhn?code=018670,018670
207,다우기술,"15,550",0,0.00%,500,"6,977","44,867",22.90,"62,482",3.77,14.62,https://finance.naver.com/item/main.nhn?code=023590,023590
208,아주캐피탈,"12,100",100,+0.83%,"5,000","6,963","57,546",1.39,"6,826",6.86,12.97,https://finance.naver.com/item/main.nhn?code=033660,033660
209,휴켐스,"16,950",550,+3.35%,"1,000","6,929","40,879",11.66,"73,563",9.85,10.82,https://finance.naver.com/item/main.nhn?code=069260,069260
211,두산,"39,900","2,300",+6.12%,"5,000","6,593","16,524",10.23,"173,822",2.19,23.52,https://finance.naver.com/item/main.nhn?code=000150,000150
215,에스엘,"13,100",600,+4.80%,500,"6,315","48,203",14.58,"82,417",6.82,7.25,https://finance.naver.com/item/main.nhn?code=005850,005850
219,쿠쿠홀딩스,"87,200",200,+0.23%,500,"6,202","7,112",4.72,"7,638",7.81,12.38,https://finance.naver.com/item/main.nhn?code=192400,192400
224,한섬,"24,600",50,-0.20%,500,"6,059","24,630",28.80,"72,215",7.11,8.37,https://finance.naver.com/item/main.nhn?code=020000,020000
240,롯데정보통신,"35,850","2,450",+7.34%,"5,000","5,520","15,396",3.49,"196,639",9.74,14.77,https://finance.naver.com/item/main.nhn?code=286940,286940
242,넥센타이어,"5,630",30,-0.53%,500,"5,499","97,668",8.85,"199,733",4.96,7.94,https://finance.naver.com/item/main.nhn?code=002350,002350
244,HDC,"9,000",20,+0.22%,"5,000","5,377","59,742",23.80,"191,739",2.10,12.58,https://finance.naver.com/item/main.nhn?code=012630,012630
247,영원무역홀딩스,"39,200","1,100",+2.89%,500,"5,345","13,636",23.80,"2,918",4.42,9.60,https://finance.naver.com/item/main.nhn?code=009970,009970
248,효성티앤씨,"123,500","1,500",-1.20%,"5,000","5,345","4,328",12.48,"2,831",5.74,20.86,https://finance.naver.com/item/main.nhn?code=298020,298020
260,유안타증권,"2,380",15,-0.63%,"5,000","4,750","199,597",62.85,"251,922",6.25,6.60,https://finance.naver.com/item/main.nhn?code=003470,003470
262,SK디스커버리,"24,650",350,-1.40%,"5,000","4,693","19,038",11.74,"108,726",2.79,11.52,https://finance.naver.com/item/main.nhn?code=006120,006120
273,대한해운,"18,400",300,-1.60%,"5,000","4,495","24,427",5.67,"39,431",4.97,11.47,https://finance.naver.com/item/main.nhn?code=005880,005880
275,한국토지신탁,"1,740",0,0.00%,"1,000","4,393","252,489",12.56,"397,046",4.07,12.72,https://finance.naver.com/item/main.nhn?code=034830,034830
276,화승인더,"7,930",120,+1.54%,500,"4,387","55,320",16.20,"2,197,760",7.44,19.66,https://finance.naver.com/item/main.nhn?code=006060,006060
277,SK디앤디,"23,050",50,+0.22%,"1,000","4,377","18,990",4.89,"51,092",9.75,12.66,https://finance.naver.com/item/main.nhn?code=210980,210980
286,신영증권,"44,150",200,-0.45%,"5,000","4,144","9,386",10.32,"3,807",8.29,6.53,https://finance.naver.com/item/main.nhn?code=001720,001720
293,세방전지,"28,450",350,-1.22%,500,"3,983","14,000",35.73,"32,076",5.08,7.70,https://finance.naver.com/item/main.nhn?code=004490,004490
295,부산가스,"36,000",200,-0.55%,"5,000","3,960","11,000",3.59,"5,247",8.09,7.57,https://finance.naver.com/item/main.nhn?code=015350,015350
297,한국콜마홀딩스,"21,650",100,+0.46%,500,"3,884","17,939",19.60,"49,430",9.68,10.51,https://finance.naver.com/item/main.nhn?code=024720,024720
300,LF,"13,000",150,+1.17%,"5,000","3,801","29,240",25.57,"106,265",5.62,5.65,https://finance.naver.com/item/main.nhn?code=093050,093050
301,효성화학,"119,000","1,500",-1.24%,"5,000","3,796","3,190",9.16,"30,416",4.32,21.37,https://finance.naver.com/item/main.nhn?code=298000,298000
304,스카이라이프,"7,880",80,+1.03%,"2,500","3,768","47,822",15.99,"112,842",6.91,8.02,https://finance.naver.com/item/main.nhn?code=053210,053210
305,우리종금,552,3,-0.54%,500,"3,722","674,203",1.91,"2,130,506",6.99,15.63,https://finance.naver.com/item/main.nhn?code=010050,010050
307,유니드,"41,550","1,750",+4.40%,"5,000","3,694","8,890",5.35,"33,352",5.47,9.87,https://finance.naver.com/item/main.nhn?code=014830,014830
319,케이씨텍,"17,450",300,-1.69%,500,"3,462","19,839",11.31,"63,556",9.39,13.52,https://finance.naver.com/item/main.nhn?code=281820,281820
324,한화투자증권,"1,585",5,-0.31%,"5,000","3,401","214,548",6.45,"581,181",3.14,9.36,https://finance.naver.com/item/main.nhn?code=003530,003530
325,삼호,"22,400","1,850",+9.00%,"5,000","3,400","15,180",3.46,"93,009",3.58,23.04,https://finance.naver.com/item/main.nhn?code=001880,001880
334,한솔제지,"13,900",450,+3.35%,"5,000","3,308","23,801",15.51,"164,207",8.27,6.92,https://finance.naver.com/item/main.nhn?code=213500,213500
337,퍼시스,"28,050",200,-0.71%,"1,000","3,226","11,500",21.99,"2,012",9.50,7.86,https://finance.naver.com/item/main.nhn?code=016800,016800
344,한독,"22,900",300,-1.29%,500,"3,152","13,764",4.22,"116,924",9.02,10.78,https://finance.naver.com/item/main.nhn?code=002390,002390
347,미원상사,"61,500",0,0.00%,500,"3,075","5,000",4.64,"1,880",9.98,14.74,https://finance.naver.com/item/main.nhn?code=002840,002840
