N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL,CODE
1,삼성전자,"49,700",150,-0.30%,100,"2,966,982","5,969,783",55.23,"9,136,952",15.70,8.69,https://finance.naver.com/item/main.nhn?code=005930,005930
2,SK하이닉스,"83,300",700,+0.85%,"5,000","606,426","728,002",48.60,"2,126,855",30.13,4.25,https://finance.naver.com/item/main.nhn?code=000660,000660
3,삼성바이오로직스,"588,000",0,0.00%,"2,500","389,050","66,165",10.44,"125,729",191.72,4.77,https://finance.naver.com/item/main.nhn?code=207940,207940
4,삼성전자우,"42,550",200,-0.47%,100,"350,138","822,887",88.69,"671,246",13.44,N/A,https://finance.naver.com/item/main.nhn?code=005935,005935
5,NAVER,"197,000",500,-0.25%,100,"323,599","164,263",57.90,"265,787",55.68,10.56,https://finance.naver.com/item/main.nhn?code=035420,035420
6,셀트리온,"209,500","3,000",-1.41%,"1,000","282,211","134,707",20.13,"446,395",94.75,11.19,https://finance.naver.com/item/main.nhn?code=068270,068270
7,LG화학,"361,500","8,000",+2.26%,"5,000","255,191","70,592",37.27,"454,106",90.31,1.84,https://finance.naver.com/item/main.nhn?code=051910,051910
8,LG생활건강,"1,370,000","25,000",-1.79%,"5,000","213,969","15,618",43.78,"36,173",31.20,20.32,https://finance.naver.com/item/main.nhn?code=051900,051900
9,현대차,"93,200","1,600",+1.75%,"5,000","199,139","213,668",34.12,"1,057,716",8.66,4.32,https://finance.naver.com/item/main.nhn?code=005380,005380
10,삼성SDI,"280,000","1,000",+0.36%,"5,000","192,541","68,765",42.11,"381,552",55.27,2.94,https://finance.naver.com/item/main.nhn?code=006400,006400
11,삼성물산,"100,500",800,+0.80%,100,"190,638","189,690",14.42,"228,018",18.31,4.77,https://finance.naver.com/item/main.nhn?code=028260,028260
12,SK텔레콤,"214,000","1,000",+0.47%,500,"172,796","80,746",37.18,"133,961",19.42,3.92,https://finance.naver.com/item/main.nhn?code=017670,017670
13,카카오,"183,000","1,000",-0.54%,500,"159,132","86,957",30.51,"420,376",-51.05,-5.81,https://finance.naver.com/item/main.nhn?code=035720,035720
14,현대모비스,"167,000",500,-0.30%,"5,000","158,741","95,055",45.84,"215,662",7.00,7.28,https://finance.naver.com/item/main.nhn?code=012330,012330
15,한국전력,"24,050",200,+0.84%,"5,000","154,392","641,964",22.44,"3,482,761",-6.58,-3.42,https://finance.naver.com/item/main.nhn?code=015760,015760
16,POSCO,"177,000","3,000",+1.72%,"5,000","154,321","87,187",50.57,"254,808",8.41,4.18,https://finance.naver.com/item/main.nhn?code=005490,005490
17,신한지주,"30,000",0,0.00%,"5,000","144,730","482,432",63.93,"2,480,573",4.28,9.09,https://finance.naver.com/item/main.nhn?code=055550,055550
18,KB금융,"34,050",150,-0.44%,"5,000","141,583","415,808",65.96,"2,934,745",4.30,8.92,https://finance.naver.com/item/main.nhn?code=105560,105560
19,엔씨소프트,"638,000","8,000",+1.27%,500,"140,067","21,954",50.52,"59,115",39.09,14.72,https://finance.naver.com/item/main.nhn?code=036570,036570
20,SK,"181,000","2,500",+1.40%,200,"127,352","70,360",23.75,"91,090",17.90,4.31,https://finance.naver.com/item/main.nhn?code=034730,034730
21,삼성에스디에스,"159,000",0,0.00%,500,"123,031","77,378",12.13,"96,600",16.71,11.76,https://finance.naver.com/item/main.nhn?code=018260,018260
22,기아차,"29,400",800,+2.80%,"5,000","119,177","405,363",39.07,"1,525,867",6.52,6.50,https://finance.naver.com/item/main.nhn?code=000270,000270
