N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL,CODE
13,현대모비스,"172,000","4,500",+2.69%,"5,000","163,494","95,055",45.77,"329,699",7.21,7.28,https://finance.naver.com/item/main.nhn?code=012330,012330
17,신한지주,"30,550",450,+1.50%,"5,000","147,383","482,432",63.83,"2,218,560",4.36,9.09,https://finance.naver.com/item/main.nhn?code=055550,055550
18,KB금융,"34,750",600,+1.76%,"5,000","144,493","415,808",65.99,"2,466,528",4.39,8.92,https://finance.naver.com/item/main.nhn?code=105560,105560
22,기아차,"29,650",400,+1.37%,"5,000","120,190","405,363",39.08,"1,869,831",6.58,6.50,https://finance.naver.com/item/main.nhn?code=000270,000270
31,하나금융지주,"27,600",250,+0.91%,"5,000","82,867","300,242",65.69,"2,331,929",3.46,8.77,https://finance.naver.com/item/main.nhn?code=086790,086790
46,기업은행,"7,900",180,+2.33%,"5,000","45,595","577,157",17.40,"4,380,146",3.30,7.36,https://finance.naver.com/item/main.nhn?code=024110,024110
53,현대건설,"35,050",750,+2.19%,"5,000","39,030","111,356",19.36,"1,024,646",9.59,6.30,https://finance.naver.com/item/main.nhn?code=000720,000720
54,현대글로비스,"101,500","2,100",+2.11%,500,"38,062","37,500",35.67,"162,155",7.58,11.25,https://finance.naver.com/item/main.nhn?code=086280,086280
55,미래에셋대우,"5,610",260,+4.86%,"5,000","36,932","658,316",14.20,"8,486,386",6.92,7.56,https://finance.naver.com/item/main.nhn?code=006800,006800
56,GS,"38,550",750,+1.98%,"5,000","35,819","92,915",22.03,"444,717",6.71,6.26,https://finance.naver.com/item/main.nhn?code=078930,078930
65,DB손해보험,"44,150",750,-1.67%,500,"31,258","70,800",40.26,"241,733",8.28,6.92,https://finance.naver.com/item/main.nhn?code=005830,005830
68,대림산업,"88,100",700,+0.80%,"5,000","30,659","34,800",40.46,"620,004",5.11,11.74,https://finance.naver.com/item/main.nhn?code=000210,000210
73,한국금융지주,"50,100","2,650",+5.58%,"5,000","27,919","55,726",40.19,"647,721",3.65,18.14,https://finance.naver.com/item/main.nhn?code=071050,071050
75,NH투자증권,"9,690",640,+7.07%,"5,000","27,269","281,409",14.94,"3,938,046",6.12,9.12,https://finance.naver.com/item/main.nhn?code=005940,005940
77,삼성증권,"30,100","1,700",+5.99%,"5,000","26,879","89,300",27.28,"1,416,506",6.86,8.15,https://finance.naver.com/item/main.nhn?code=016360,016360
78,한국타이어앤테크놀로지,"21,250",50,+0.24%,500,"26,323","123,875",38.56,"421,983",6.27,6.03,https://finance.naver.com/item/main.nhn?code=161390,161390
79,신세계,"265,000","1,500",+0.57%,"5,000","26,090","9,845",29.34,"153,467",4.96,14.24,https://finance.naver.com/item/main.nhn?code=004170,004170
85,두산밥캣,"23,500",550,+2.40%,500,"23,559","100,249",23.29,"663,509",8.66,7.05,https://finance.naver.com/item/main.nhn?code=241560,241560
87,현대해상,"26,100",350,-1.32%,500,"23,333","89,400",42.16,"274,656",8.67,6.23,https://finance.naver.com/item/main.nhn?code=001450,001450
88,금호석유,"76,400",0,0.00%,"5,000","23,277","30,468",30.80,"347,432",8.69,11.84,https://finance.naver.com/item/main.nhn?code=011780,011780
90,삼성엔지니어링,"11,500",450,+4.07%,"5,000","22,540","196,000",29.70,"3,118,089",7.70,24.62,https://finance.naver.com/item/main.nhn?code=028050,028050
92,휠라홀딩스,"34,800",250,-0.71%,"1,000","21,142","60,752",39.34,"554,824",7.97,23.81,https://finance.naver.com/item/main.nhn?code=081660,081660
94,GS건설,"25,300",0,0.00%,"5,000","20,265","80,098",29.04,"526,270",4.56,11.79,https://finance.naver.com/item/main.nhn?code=006360,006360
95,메리츠증권,"3,270",190,+6.17%,"1,000","20,186","617,311",14.99,"6,602,498",4.19,15.06,https://finance.naver.com/item/main.nhn?code=008560,008560
