N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL,CODE
9,SK머티리얼즈,"157,500","1,100",-0.69%,500,"16,613","10,548",13.83,"52,271",12.96,30.22,https://finance.naver.com/item/main.nhn?code=036490,036490
15,컴투스,"107,000",500,+0.47%,500,"13,767","12,866",33.62,"52,550",12.31,12.68,https://finance.naver.com/item/main.nhn?code=078340,078340
21,솔브레인,"73,000",900,+1.25%,500,"12,701","17,398",25.87,"390,748",10.84,15.06,https://finance.naver.com/item/main.nhn?code=036830,036830
23,에스에프에이,"34,950",400,+1.16%,500,"12,550","35,909",21.40,"176,015",9.51,15.90,https://finance.naver.com/item/main.nhn?code=056190,056190
40,GS홈쇼핑,"127,700","1,800",-1.39%,"5,000","8,380","6,562",25.03,"22,776",7.65,9.81,https://finance.naver.com/item/main.nhn?code=028150,028150
41,동진쎄미켐,"15,700","1,050",+7.17%,500,"8,072","51,414",6.76,"4,122,927",13.80,17.78,https://finance.naver.com/item/main.nhn?code=005290,005290
60,매일유업,"80,300",200,-0.25%,500,"6,298","7,844",19.51,"15,647",9.79,17.14,https://finance.naver.com/item/main.nhn?code=267980,267980
62,KG이니시스,"22,000",50,-0.23%,500,"6,139","27,904",18.97,"468,312",12.28,21.61,https://finance.naver.com/item/main.nhn?code=035600,035600
65,하림지주,"6,400",320,+5.26%,100,"5,989","93,584",5.23,"520,169",10.77,3.24,https://finance.naver.com/item/main.nhn?code=003380,003380
69,웹젠,"16,650",200,-1.19%,500,"5,879","35,311",26.47,"221,982",13.79,12.74,https://finance.naver.com/item/main.nhn?code=069080,069080
71,비에이치,"16,800",50,+0.30%,500,"5,519","32,851",14.19,"462,197",9.49,24.22,https://finance.naver.com/item/main.nhn?code=090460,090460
76,메가스터디교육,"45,000","1,550",+3.57%,100,"5,320","11,822",38.73,"101,817",11.30,20.45,https://finance.naver.com/item/main.nhn?code=215200,215200
77,엠씨넥스,"29,750",100,+0.34%,500,"5,314","17,863",17.19,"428,498",6.21,47.71,https://finance.naver.com/item/main.nhn?code=097520,097520
83,실리콘웍스,"30,150",400,+1.34%,500,"4,904","16,264",32.51,"131,941",12.72,8.39,https://finance.naver.com/item/main.nhn?code=108320,108320
86,코웰패션,"5,450",70,-1.27%,500,"4,823","88,500",3.38,"330,668",9.60,22.72,https://finance.naver.com/item/main.nhn?code=033290,033290
87,에이스침대,"43,400",150,+0.35%,"1,000","4,813","11,090",3.40,"2,904",11.37,9.41,https://finance.naver.com/item/main.nhn?code=003800,003800
88,휴온스,"48,500",750,-1.52%,500,"4,792","9,881",13.61,"69,446",12.54,21.36,https://finance.naver.com/item/main.nhn?code=243070,243070
89,서진시스템,"26,450",400,-1.49%,500,"4,788","18,101",9.16,"319,321",9.84,20.25,https://finance.naver.com/item/main.nhn?code=178320,178320
97,한국아트라스비엑스,"49,100",200,+0.41%,"1,000","4,493","9,150",2.99,623,8.46,15.60,https://finance.naver.com/item/main.nhn?code=023890,023890
101,파트론,"8,040",60,-0.74%,500,"4,354","54,156",19.15,"762,602",7.14,18.71,https://finance.naver.com/item/main.nhn?code=091700,091700
103,상상인,"7,830",60,+0.77%,"1,000","4,332","55,328",7.56,"399,266",3.47,26.51,https://finance.naver.com/item/main.nhn?code=038540,038540
108,오이솔루션,"39,400",750,-1.87%,500,"4,186","10,624",4.31,"197,984",8.49,44.43,https://finance.naver.com/item/main.nhn?code=138080,138080
120,바텍,"25,450","1,250",-4.68%,500,"3,780","14,854",25.42,"333,576",11.16,14.49,https://finance.naver.com/item/main.nhn?code=043150,043150
123,이엔에프테크놀로지,"26,500",300,+1.15%,500,"3,770","14,228",12.80,"328,254",8.18,18.90,https://finance.naver.com/item/main.nhn?code=102710,102710
131,휴온스글로벌,"31,650",50,-0.16%,500,"3,628","11,464",12.05,"55,695",13.61,7.20,https://finance.naver.com/item/main.nhn?code=084110,084110
133,뷰웍스,"35,200","1,800",-4.86%,500,"3,521","10,002",26.84,"197,353",14.54,16.03,https://finance.naver.com/item/main.nhn?code=100120,100120
134,다나와,"26,900",200,-0.74%,500,"3,517","13,075",14.93,"104,053",14.91,23.63,https://finance.naver.com/item/main.nhn?code=119860,119860
135,이녹스첨단소재,"36,650",600,+1.66%,500,"3,483","9,502",9.82,"81,570",10.08,21.10,https://finance.naver.com/item/main.nhn?code=272290,272290
138,하나머티리얼즈,"17,450","1,050",+6.40%,500,"3,425","19,628",14.88,"838,254",12.38,20.86,https://finance.naver.com/item/main.nhn?code=166090,166090
139,한국알콜,"15,800","2,000",+14.49%,500,"3,414","21,606",1.25,"33,792,297",10.73,10.23,https://finance.naver.com/item/main.nhn?code=017890,017890
140,테라젠이텍스,"10,850",50,-0.46%,500,"3,397","31,312",4.15,"1,696,369",7.70,40.27,https://finance.naver.com/item/main.nhn?code=066700,066700
145,위닉스,"18,650",600,+3.32%,500,"3,333","17,873",4.39,"795,336",8.23,29.85,https://finance.naver.com/item/main.nhn?code=044340,044340
150,아이센스,"23,550",200,+0.86%,500,"3,235","13,737",41.14,"382,673",13.81,12.35,https://finance.naver.com/item/main.nhn?code=099190,099190
151,동원개발,"3,550",10,-0.28%,500,"3,224","90,808",17.78,"140,155",3.80,11.49,https://finance.naver.com/item/main.nhn?code=013120,013120
155,엘비세미콘,"7,200","1,260",-14.89%,500,"3,152","43,785",2.49,"17,860,744",9.68,24.47,https://finance.naver.com/item/main.nhn?code=061970,061970
156,다우데이타,"8,190",100,+1.24%,500,"3,137","38,300",4.96,"121,824",4.60,13.08,https://finance.naver.com/item/main.nhn?code=032190,032190
160,한국정보통신,"8,200",220,-2.61%,500,"3,070","37,444",65.63,"138,920",12.93,12.70,https://finance.naver.com/item/main.nhn?code=025770,025770
163,세경하이테크,"26,200",200,+0.77%,500,"3,050","11,642",1.46,"261,405",13.03,18.64,https://finance.naver.com/item/main.nhn?code=148150,148150
164,동화기업,"15,100",300,+2.03%,500,"3,050","20,198",42.65,"59,034",11.01,5.30,https://finance.naver.com/item/main.nhn?code=025900,025900
165,원익머트리얼즈,"24,050",50,-0.21%,500,"3,032","12,608",13.72,"99,904",10.79,9.55,https://finance.naver.com/item/main.nhn?code=104830,104830
166,비츠로셀,"13,950",300,+2.20%,500,"3,005","21,539",27.18,"236,073",14.97,15.34,https://finance.naver.com/item/main.nhn?code=082920,082920
167,한국기업평가,"66,100","2,000",+3.12%,"5,000","3,001","4,541",77.50,"15,481",14.74,20.96,https://finance.naver.com/item/main.nhn?code=034950,034950
170,사람인에이치알,"25,400",50,+0.20%,500,"2,961","11,659",23.82,"26,371",11.61,25.35,https://finance.naver.com/item/main.nhn?code=143240,143240
171,나이스정보통신,"29,600",500,+1.72%,500,"2,960","10,000",26.76,"50,726",9.83,13.88,https://finance.naver.com/item/main.nhn?code=036800,036800
174,원익홀딩스,"3,785",80,+2.16%,500,"2,923","77,238",9.20,"510,253",8.82,4.42,https://finance.naver.com/item/main.nhn?code=030530,030530
175,와이솔,"10,350",0,0.00%,500,"2,916","28,172",5.79,"187,219",8.61,10.19,https://finance.naver.com/item/main.nhn?code=122990,122990
176,KG모빌리언스,"7,490",10,+0.13%,500,"2,908","38,826",3.53,"1,229,785",12.46,8.18,https://finance.naver.com/item/main.nhn?code=046440,046440
179,에이치엘사이언스,"54,900",200,-0.36%,500,"2,823","5,142",2.11,"56,260",14.30,27.38,https://finance.naver.com/item/main.nhn?code=239610,239610
188,유니테스트,"12,850",800,+6.64%,500,"2,716","21,134",7.93,"1,511,792",10.64,17.03,https://finance.naver.com/item/main.nhn?code=086390,086390
190,슈피겐코리아,"43,500",800,+1.87%,500,"2,704","6,216",15.77,"94,620",6.70,14.52,https://finance.naver.com/item/main.nhn?code=192440,192440
193,이베스트투자증권,"4,800",280,+6.19%,"5,000","2,663","55,481",0.46,"396,985",4.71,11.23,https://finance.naver.com/item/main.nhn?code=078020,078020
195,다날,"4,215",35,-0.82%,500,"2,618","62,116",1.79,"20,436,792",10.08,13.96,https://finance.naver.com/item/main.nhn?code=064260,064260
197,주성엔지니어링,"5,410",90,+1.69%,500,"2,610","48,249",9.27,"428,594",10.13,11.50,https://finance.naver.com/item/main.nhn?code=036930,036930
199,인바디,"18,850",300,-1.57%,500,"2,579","13,684",25.70,"120,714",12.63,15.47,https://finance.naver.com/item/main.nhn?code=041830,041830
202,에스티아이,"16,100",550,+3.54%,500,"2,549","15,830",5.95,"591,147",10.98,14.59,https://finance.naver.com/item/main.nhn?code=039440,039440
203,네오팜,"30,900",150,-0.48%,500,"2,536","8,207",16.51,"39,528",12.67,23.33,https://finance.naver.com/item/main.nhn?code=092730,092730
204,나스미디어,"28,850",550,+1.94%,500,"2,526","8,755",11.14,"89,355",12.25,15.07,https://finance.naver.com/item/main.nhn?code=089600,089600
209,슈프리마,"34,250",600,+1.78%,500,"2,464","7,193",7.93,"295,864",9.40,21.18,https://finance.naver.com/item/main.nhn?code=236200,236200
214,연우,"19,250",150,-0.77%,500,"2,387","12,398",12.71,"49,368",14.21,8.38,https://finance.naver.com/item/main.nhn?code=115960,115960
217,파워로직스,"6,870",430,-5.89%,500,"2,365","34,421",7.92,"2,462,294",4.26,26.19,https://finance.naver.com/item/main.nhn?code=047310,047310
219,성우하이텍,"2,940",50,+1.73%,500,"2,352","80,000",14.94,"373,957",5.99,3.69,https://finance.naver.com/item/main.nhn?code=015750,015750
226,이테크건설,"81,800","4,000",+5.14%,"5,000","2,290","2,800",3.01,"16,604",11.82,6.68,https://finance.naver.com/item/main.nhn?code=016250,016250
230,큐리언트,"26,300","1,000",-3.66%,500,"2,269","8,626",2.94,"297,434",-11.24,65.60,https://finance.naver.com/item/main.nhn?code=115180,115180
239,경동제약,"8,300",170,+2.09%,500,"2,204","26,550",17.52,"47,788",10.95,9.18,https://finance.naver.com/item/main.nhn?code=011040,011040
241,코미코,"24,900",850,+3.53%,500,"2,185","8,775",27.67,"43,463",9.90,21.04,https://finance.naver.com/item/main.nhn?code=183300,183300
245,서희건설,"1,040",5,+0.48%,500,"2,154","207,081",10.33,"1,189,112",3.26,18.62,https://finance.naver.com/item/main.nhn?code=035890,035890
246,동성화인텍,"7,960",170,+2.18%,500,"2,148","26,984",3.67,"422,058",12.74,19.99,https://finance.naver.com/item/main.nhn?code=033500,033500
257,펌텍코리아,"16,600",650,+4.08%,500,"2,058","12,400",0.60,"212,374",9.99,18.07,https://finance.naver.com/item/main.nhn?code=251970,251970
260,크리스에프앤씨,"17,450",400,+2.35%,"1,000","2,044","11,715",0.03,"4,578",8.24,11.77,https://finance.naver.com/item/main.nhn?code=110790,110790
265,신흥에스이씨,"30,200",300,+1.00%,"2,500","2,030","6,722",1.41,"35,892",12.35,17.29,https://finance.naver.com/item/main.nhn?code=243840,243840
270,올리패스,"12,500",500,-3.85%,500,"1,996","15,969",0.33,"89,318",-3.78,588.12,https://finance.naver.com/item/main.nhn?code=244460,244460
273,에스에이엠티,"1,980",0,0.00%,500,"1,980","99,995",6.21,"540,718",5.27,16.62,https://finance.naver.com/item/main.nhn?code=031330,031330
276,와이엔텍,"10,800",100,+0.93%,500,"1,966","18,200",4.81,"304,469",10.67,14.66,https://finance.naver.com/item/main.nhn?code=067900,067900
282,진로발효,"29,050",400,+1.40%,500,"1,923","6,621",10.57,"26,431",14.83,15.81,https://finance.naver.com/item/main.nhn?code=018120,018120
286,피앤이솔루션,"13,000",350,+2.77%,500,"1,888","14,523",2.49,"452,094",11.86,21.81,https://finance.naver.com/item/main.nhn?code=131390,131390
288,도이치모터스,"6,730",0,0.00%,500,"1,887","28,037",3.66,"210,624",3.30,26.20,https://finance.naver.com/item/main.nhn?code=067990,067990
290,인탑스,"10,950",0,0.00%,500,"1,883","17,200",32.60,"76,262",5.28,8.50,https://finance.naver.com/item/main.nhn?code=049070,049070
291,윈스,"15,450",150,-0.96%,500,"1,876","12,140",6.67,"165,269",12.80,13.62,https://finance.naver.com/item/main.nhn?code=136540,136540
292,엠에스오토텍,"5,450",70,+1.30%,500,"1,865","34,227",0.75,"938,263",9.89,13.84,https://finance.naver.com/item/main.nhn?code=123040,123040
294,멀티캠퍼스,"31,350",150,+0.48%,500,"1,858","5,927",4.39,"9,113",9.97,18.19,https://finance.naver.com/item/main.nhn?code=067280,067280
295,민앤지,"14,350",50,-0.35%,500,"1,820","12,682",9.85,"82,526",10.80,15.71,https://finance.naver.com/item/main.nhn?code=214180,214180
298,한양이엔지,"10,050",50,+0.50%,500,"1,809","18,000",8.47,"85,537",6.12,9.34,https://finance.naver.com/item/main.nhn?code=045100,045100
306,대한약품,"29,750",100,+0.34%,500,"1,785","6,000",14.61,"13,713",6.34,18.34,https://finance.naver.com/item/main.nhn?code=023910,023910
309,디지털대성,"7,740",0,0.00%,500,"1,749","22,599",4.58,"92,970",11.69,19.70,https://finance.naver.com/item/main.nhn?code=068930,068930
314,켐트로닉스,"11,800",300,+2.61%,500,"1,720","14,572",4.02,"635,849",10.17,18.50,https://finance.naver.com/item/main.nhn?code=089010,089010
316,금화피에스시,"28,400",50,+0.18%,500,"1,704","6,000",28.74,"3,644",6.16,12.04,https://finance.naver.com/item/main.nhn?code=036190,036190
320,동구바이오제약,"17,600",50,+0.28%,500,"1,690","9,604",1.27,"66,595",11.20,19.15,https://finance.naver.com/item/main.nhn?code=006620,006620
325,SV인베스트먼트,"3,105",90,-2.82%,500,"1,653","53,234",0.00,"4,143,327",-310.50,19.34,https://finance.naver.com/item/main.nhn?code=289080,289080
327,하이록코리아,"12,100",200,+1.68%,500,"1,647","13,613",44.29,"41,269",12.78,3.81,https://finance.naver.com/item/main.nhn?code=013030,013030
330,게임빌,"24,700",50,-0.20%,500,"1,629","6,595",6.88,"17,481",12.01,5.54,https://finance.naver.com/item/main.nhn?code=063080,063080
333,에프에스티,"8,010",140,+1.78%,500,"1,621","20,234",2.47,"409,197",8.87,17.52,https://finance.naver.com/item/main.nhn?code=036810,036810
335,야스,"12,300",600,+5.13%,500,"1,606","13,058",2.77,"92,162",9.84,11.22,https://finance.naver.com/item/main.nhn?code=255440,255440
338,피에스케이홀딩스,"7,380",170,+2.36%,500,"1,591","21,562",2.03,"23,221",8.09,4.66,https://finance.naver.com/item/main.nhn?code=031980,031980
342,한국캐피탈,499,3,+0.60%,500,"1,575","315,610",0.14,"510,535",4.80,7.81,https://finance.naver.com/item/main.nhn?code=023760,023760
345,프로텍,"14,250",150,+1.06%,500,"1,568","11,000",8.65,"70,790",4.07,19.94,https://finance.naver.com/item/main.nhn?code=053610,053610
353,와이엠티,"20,950",550,+2.70%,500,"1,551","7,405",1.60,"26,065",11.82,18.60,https://finance.naver.com/item/main.nhn?code=251370,251370
363,유니셈,"4,970",75,+1.53%,500,"1,524","30,664",8.36,"477,724",6.92,18.57,https://finance.naver.com/item/main.nhn?code=036200,036200
