N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL,CODE
9,SK머티리얼즈,"157,500","1,100",-0.69%,500,"16,613","10,548",13.83,"52,271",12.96,30.22,https://finance.naver.com/item/main.nhn?code=036490,036490
23,에스에프에이,"34,950",400,+1.16%,500,"12,550","35,909",21.40,"176,015",9.51,15.90,https://finance.naver.com/item/main.nhn?code=056190,056190
83,실리콘웍스,"30,150",400,+1.34%,500,"4,904","16,264",32.51,"131,941",12.72,8.39,https://finance.naver.com/item/main.nhn?code=108320,108320
88,휴온스,"48,500",750,-1.52%,500,"4,792","9,881",13.61,"69,446",12.54,21.36,https://finance.naver.com/item/main.nhn?code=243070,243070
97,한국아트라스비엑스,"49,100",200,+0.41%,"1,000","4,493","9,150",2.99,623,8.46,15.60,https://finance.naver.com/item/main.nhn?code=023890,023890
103,상상인,"7,830",60,+0.77%,"1,000","4,332","55,328",7.56,"399,266",3.47,26.51,https://finance.naver.com/item/main.nhn?code=038540,038540
134,다나와,"26,900",200,-0.74%,500,"3,517","13,075",14.93,"104,053",14.91,23.63,https://finance.naver.com/item/main.nhn?code=119860,119860
135,이녹스첨단소재,"36,650",600,+1.66%,500,"3,483","9,502",9.82,"81,570",10.08,21.10,https://finance.naver.com/item/main.nhn?code=272290,272290
139,한국알콜,"15,800","2,000",+14.49%,500,"3,414","21,606",1.25,"33,792,297",10.73,10.23,https://finance.naver.com/item/main.nhn?code=017890,017890
179,에이치엘사이언스,"54,900",200,-0.36%,500,"2,823","5,142",2.11,"56,260",14.30,27.38,https://finance.naver.com/item/main.nhn?code=239610,239610
190,슈피겐코리아,"43,500",800,+1.87%,500,"2,704","6,216",15.77,"94,620",6.70,14.52,https://finance.naver.com/item/main.nhn?code=192440,192440
203,네오팜,"30,900",150,-0.48%,500,"2,536","8,207",16.51,"39,528",12.67,23.33,https://finance.naver.com/item/main.nhn?code=092730,092730
209,슈프리마,"34,250",600,+1.78%,500,"2,464","7,193",7.93,"295,864",9.40,21.18,https://finance.naver.com/item/main.nhn?code=236200,236200
257,펌텍코리아,"16,600",650,+4.08%,500,"2,058","12,400",0.60,"212,374",9.99,18.07,https://finance.naver.com/item/main.nhn?code=251970,251970
276,와이엔텍,"10,800",100,+0.93%,500,"1,966","18,200",4.81,"304,469",10.67,14.66,https://finance.naver.com/item/main.nhn?code=067900,067900
282,진로발효,"29,050",400,+1.40%,500,"1,923","6,621",10.57,"26,431",14.83,15.81,https://finance.naver.com/item/main.nhn?code=018120,018120
286,피앤이솔루션,"13,000",350,+2.77%,500,"1,888","14,523",2.49,"452,094",11.86,21.81,https://finance.naver.com/item/main.nhn?code=131390,131390
290,인탑스,"10,950",0,0.00%,500,"1,883","17,200",32.60,"76,262",5.28,8.50,https://finance.naver.com/item/main.nhn?code=049070,049070
291,윈스,"15,450",150,-0.96%,500,"1,876","12,140",6.67,"165,269",12.80,13.62,https://finance.naver.com/item/main.nhn?code=136540,136540
295,민앤지,"14,350",50,-0.35%,500,"1,820","12,682",9.85,"82,526",10.80,15.71,https://finance.naver.com/item/main.nhn?code=214180,214180
306,대한약품,"29,750",100,+0.34%,500,"1,785","6,000",14.61,"13,713",6.34,18.34,https://finance.naver.com/item/main.nhn?code=023910,023910
333,에프에스티,"8,010",140,+1.78%,500,"1,621","20,234",2.47,"409,197",8.87,17.52,https://finance.naver.com/item/main.nhn?code=036810,036810
376,유비쿼스,"28,750",150,-0.52%,500,"1,473","5,124",3.87,"37,434",13.22,13.24,https://finance.naver.com/item/main.nhn?code=264450,264450
385,어보브반도체,"8,290",140,+1.72%,500,"1,447","17,460",7.63,"839,208",10.82,15.80,https://finance.naver.com/item/main.nhn?code=102120,102120
