N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL,CODE
35,고려아연,"386,000",500,-0.13%,"5,000","72,838","18,870",23.29,"49,989",11.51,9.76,https://finance.naver.com/item/main.nhn?code=010130,010130
39,LG유플러스,"13,350",300,+2.30%,"5,000","58,288","436,611",36.13,"1,689,495",13.28,6.30,https://finance.naver.com/item/main.nhn?code=032640,032640
68,대림산업,"88,100",700,+0.80%,"5,000","30,659","34,800",40.46,"620,004",5.11,11.74,https://finance.naver.com/item/main.nhn?code=000210,000210
77,삼성증권,"30,100","1,700",+5.99%,"5,000","26,879","89,300",27.28,"1,416,506",6.86,8.15,https://finance.naver.com/item/main.nhn?code=016360,016360
93,제일기획,"17,700",100,+0.57%,200,"20,362","115,041",31.22,"745,780",14.75,15.09,https://finance.naver.com/item/main.nhn?code=030000,030000
95,메리츠증권,"3,270",190,+6.17%,"1,000","20,186","617,311",14.99,"6,602,498",4.19,15.06,https://finance.naver.com/item/main.nhn?code=008560,008560
107,동서,"17,300",50,+0.29%,500,"17,248","99,700",5.72,"138,192",12.60,10.53,https://finance.naver.com/item/main.nhn?code=026960,026960
114,F&F,"107,000","2,500",-2.28%,500,"16,478","15,400",12.72,"78,643",14.95,25.13,https://finance.naver.com/item/main.nhn?code=007700,007700
127,한전KPS,"32,450",450,+1.41%,200,"14,602","45,000",17.17,"112,629",9.52,14.98,https://finance.naver.com/item/main.nhn?code=051600,051600
128,메리츠금융지주,"9,930",130,+1.33%,500,"13,924","140,224",7.27,"57,406",3.50,15.26,https://finance.naver.com/item/main.nhn?code=138040,138040
151,더블유게임즈,"58,000",0,0.00%,500,"10,594","18,266",12.18,"190,256",9.60,18.93,https://finance.naver.com/item/main.nhn?code=192080,192080
159,롯데정밀화학,"39,000","2,050",+5.55%,"5,000","10,062","25,800",24.26,"318,113",5.98,11.73,https://finance.naver.com/item/main.nhn?code=004000,004000
161,GKL,"15,850",350,-2.16%,500,"9,804","61,856",7.56,"345,759",13.55,12.62,https://finance.naver.com/item/main.nhn?code=114090,114090
191,현대오토에버,"39,450",300,+0.77%,500,"8,284","21,000",1.47,"37,338",14.76,11.71,https://finance.naver.com/item/main.nhn?code=307950,307950
199,삼양식품,"101,000","1,500",-1.46%,"5,000","7,608","7,533",5.39,"35,032",12.78,23.15,https://finance.naver.com/item/main.nhn?code=003230,003230
209,아주캐피탈,"12,250",100,+0.82%,"5,000","7,049","57,546",1.39,"28,564",6.94,12.97,https://finance.naver.com/item/main.nhn?code=033660,033660
239,영원무역홀딩스,"41,050",450,+1.11%,500,"5,597","13,636",23.80,"2,787",4.63,9.60,https://finance.naver.com/item/main.nhn?code=009970,009970
240,넥센타이어,"5,730",30,+0.53%,500,"5,596","97,668",8.87,"376,403",5.05,7.94,https://finance.naver.com/item/main.nhn?code=002350,002350
297,우리종금,581,25,+4.50%,500,"3,917","674,203",1.95,"12,194,743",7.35,15.63,https://finance.naver.com/item/main.nhn?code=010050,010050
315,하나제약,"22,250",150,-0.67%,500,"3,604","16,200",1.61,"47,921",12.74,13.30,https://finance.naver.com/item/main.nhn?code=293480,293480
360,한국자산신탁,"2,415",70,+2.99%,500,"2,994","123,978",6.42,"541,097",3.34,14.28,https://finance.naver.com/item/main.nhn?code=123890,123890
367,유나이티드제약,"17,650",150,+0.86%,500,"2,865","16,232",14.12,"134,672",9.26,12.79,https://finance.naver.com/item/main.nhn?code=033270,033270
396,해성디에스,"14,800",150,+1.02%,"5,000","2,516","17,000",3.44,"151,193",13.73,9.06,https://finance.naver.com/item/main.nhn?code=195870,195870
