N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL,CODE
13,현대모비스,"169,000","8,000",-4.52%,"5,000","160,642","95,055",45.95,"439,160",7.08,7.28,https://finance.naver.com/item/main.nhn?code=012330,012330
18,신한지주,"27,150",350,-1.27%,"5,000","130,980","482,432",63.88,"1,747,959",3.88,9.09,https://finance.naver.com/item/main.nhn?code=055550,055550
19,KB금융,"31,100",200,-0.64%,"5,000","129,316","415,808",65.71,"1,567,763",3.93,8.92,https://finance.naver.com/item/main.nhn?code=105560,105560
22,기아차,"27,700","1,100",-3.82%,"5,000","112,286","405,363",39.17,"2,190,933",6.15,6.50,https://finance.naver.com/item/main.nhn?code=000270,000270
35,하나금융지주,"23,150",450,-1.91%,"5,000","69,506","300,242",65.32,"1,194,240",2.91,8.77,https://finance.naver.com/item/main.nhn?code=086790,086790
47,기업은행,"7,200",120,-1.64%,"5,000","41,555","577,157",17.41,"2,458,426",3.01,7.36,https://finance.naver.com/item/main.nhn?code=024110,024110
52,현대글로비스,"98,300","2,200",-2.19%,500,"36,862","37,500",35.81,"109,966",7.34,11.25,https://finance.naver.com/item/main.nhn?code=086280,086280
53,현대건설,"33,000","1,750",-5.04%,"5,000","36,747","111,356",19.23,"1,322,506",9.03,6.30,https://finance.naver.com/item/main.nhn?code=000720,000720
54,GS,"37,500","1,100",-2.85%,"5,000","34,843","92,915",22.12,"299,659",6.53,6.26,https://finance.naver.com/item/main.nhn?code=078930,078930
55,미래에셋대우,"5,150",70,-1.34%,"5,000","33,903","658,316",14.26,"1,717,600",6.35,7.56,https://finance.naver.com/item/main.nhn?code=006800,006800
57,삼성카드,"27,800",150,-0.54%,"5,000","32,209","115,859",10.87,"89,431",9.36,5.04,https://finance.naver.com/item/main.nhn?code=029780,029780
64,DB손해보험,"42,500",600,-1.39%,500,"30,090","70,800",40.31,"245,201",7.97,6.92,https://finance.naver.com/item/main.nhn?code=005830,005830
68,대림산업,"81,400","2,800",-3.33%,"5,000","28,327","34,800",40.69,"331,688",4.72,11.74,https://finance.naver.com/item/main.nhn?code=000210,000210
